Name,Mana Cost,Mana Value,Rarity,Set Code,Type,Image URL
+2 Mace,{1}{W},2.0,common,afr,Artifact — Equipment,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/8/e882c9f9-bf30-46b6-bedc-379d2c80e5cb.jpg?1627701221
Aberrant Mind Sorcerer,{4}{U},5.0,uncommon,afr,Creature — Human Elf Shaman,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/9/d9c6401a-e152-4acf-a2ca-75c484f296d5.jpg?1627702765
Acererak the Archlich,{2}{B},3.0,mythic,afr,Legendary Creature — Zombie Wizard,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/7/376b3cee-9386-41b0-a5d9-f60d147caff7.jpg?1632363549
Adult Gold Dragon,{3}{R}{W},5.0,rare,afr,Creature — Dragon,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/2/62906879-fcc3-4ede-aa9e-b63d963d331a.jpg?1627772998
Air-Cult Elemental,{4}{U}{U},6.0,common,afr,Creature — Elemental,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/b/fba82564-a9a9-4ded-a5fa-0e5fab2a3faa.jpg?1627702795
Arborea Pegasus,{3}{W},4.0,common,afr,Creature — Pegasus,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/b/6bf942df-d30b-4d1b-8a46-bca4abaeb147.jpg?1627711071
Arcane Investigator,{1}{U},2.0,common,afr,Creature — Elf Wizard,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/c/dc457520-9947-4f65-bbe7-9b95bd2c23af.jpg?1627702826
Armory Veteran,{1}{R},2.0,common,afr,Creature — Orc Warrior,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/1/4177f57e-c239-47e8-ae50-5f593f6d54ec.jpg?1627705723
Asmodeus the Archfiend,{4}{B}{B},6.0,rare,afr,Legendary Creature — Devil God,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/a/1a0bbab6-b9ad-456d-ab4a-485dd8d89b35.jpg?1632363573
Bag of Holding,{1},1.0,uncommon,afr,Artifact,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/e/6ea5e4e9-491b-4c80-8801-f4cd5225c601.jpg?1627709676
Baleful Beholder,{4}{B}{B},6.0,common,afr,Creature — Beholder,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/0/204f3cba-df13-4c89-b92d-47ee3be6809c.jpg?1627782545
Bar the Gate,{2}{U},3.0,common,afr,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/9/b9b1e53f-1384-4860-9944-e68922afc65c.jpg?1627702860
Barbarian Class,{R},1.0,uncommon,afr,Enchantment — Class,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/4/647c2269-bdc7-4455-9158-73abbff6e50e.jpg?1627705778
Bard Class,{R}{G},2.0,rare,afr,Enchantment — Class,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/7/37d6343a-c514-4ca6-a415-62d1a473ae20.jpg?1627708744
Barrowin of Clan Undurr,{2}{W}{B},4.0,uncommon,afr,Legendary Creature — Dwarf Cleric,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/8/38ce406d-8253-48f8-a146-8302518c5187.jpg?1627712269
Battle Cry Goblin,{1}{R},2.0,uncommon,afr,Creature — Goblin,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/7/9766a427-2bb3-4028-a502-d1194cdc93aa.jpg?1627705831
Black Dragon,{5}{B}{B},7.0,uncommon,afr,Creature — Dragon,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/a/aaca283a-39f1-4ae7-98fb-7821a927ef86.jpg?1627704399
Blink Dog,{2}{W},3.0,uncommon,afr,Creature — Dog,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/f/4fcf1082-25ac-4537-9fd9-631f834097ad.jpg?1627711109
Blue Dragon,{5}{U}{U},7.0,uncommon,afr,Creature — Dragon,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/8/98dea71b-2778-4374-8ea2-7fa82f0f6110.jpg?1627702968
Boots of Speed,{R},1.0,common,afr,Artifact — Equipment,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/b/db6d9913-3d4f-4f47-ba3a-6586a50ddbd7.jpg?1627705859
Brazen Dwarf,{1}{R},2.0,common,afr,Creature — Dwarf Shaman,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/6/3658e65b-df54-4327-9104-c2f3dd65df85.jpg?1627705968
Bruenor Battlehammer,{2}{R}{W},4.0,uncommon,afr,Legendary Creature — Dwarf Warrior,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/3/53e1eb00-412e-4c25-bc7b-6d074330fd97.jpg?1627708804
Bulette,{3}{G},4.0,common,afr,Creature — Beast,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/0/206a9e7b-45c1-4213-8fc4-27d90e2ab0e9.jpg?1627707159
Bull's Strength,{1}{G},2.0,common,afr,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/9/092cab70-c771-4c96-a5ce-22f2e32e3ea8.jpg?1627707199
Burning Hands,{1}{R},2.0,uncommon,afr,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/6/66e2d723-3fa0-4411-8f98-e4e6b3a5e6df.jpg?1627705997
Cave of the Frost Dragon,,0.0,rare,afr,Land,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/d/bdb41396-5008-4a5f-92ca-54ecac42e926.jpg?1627710109
Celestial Unicorn,{2}{W},3.0,common,afr,Creature — Unicorn,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/2/c2bba29a-6d7c-4f53-a4ad-e27a33fe19cc.jpg?1627711154
