Name,Mana Cost,Mana Value,Rarity,Set Code,Type,Image URL
Abandon the Post,{1}{R},2.0,common,mid,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/8/983da138-f0f5-46c4-90c2-d3c34cc37d1f.jpg?1634350355
"Adeline, Resplendent Cathar",{1}{W}{W},3.0,rare,mid,Legendary Creature — Human Knight,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/8/18092f68-b96e-4084-9eba-b240d2195d81.jpg?1634346539
Ambitious Farmhand,{1}{W},2.0,uncommon,mid,Creature — Human Peasant // Creature — Human Knight,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/4/54d4e7c3-294d-4900-8b70-faafda17cc33.jpg?1634346867
Angelfire Ignition,{1}{R}{W},3.0,rare,mid,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/4/742eaaed-4162-4179-94e6-0c1a943a46b9.jpg?1641177775
Arcane Infusion,{U}{R},2.0,uncommon,mid,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/a/9ab520b7-ad87-4c8e-a454-5c022e378564.jpg?1636225112
Ardent Elementalist,{3}{R},4.0,common,mid,Creature — Human Shaman,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/5/f58592f7-1df5-428d-9dde-e6acd9a5d1d5.jpg?1634350379
"Arlinn, the Pack's Hope",{2}{R}{G},4.0,mythic,mid,Legendary Planeswalker — Arlinn // Legendary Planeswalker — Arlinn,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/0/50d4b0df-a1d8-494f-a019-70ce34161320.jpg?1636683747
Arrogant Outlaw,{2}{B},3.0,common,mid,Creature — Vampire Noble,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/9/496a9d45-6197-44b6-b0fc-17aeae281b2f.jpg?1634349480
Augur of Autumn,{1}{G}{G},3.0,rare,mid,Creature — Human Druid,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/a/6aa98767-ae27-4cf0-98ea-93e659f160f4.jpg?1636223832
Baithook Angler,{1}{U},2.0,common,mid,Creature — Human Peasant // Creature — Spirit,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/6/36e71d16-0964-489d-bea2-9cec7991fc99.jpg?1634347296
Baneblade Scoundrel,{3}{B},4.0,uncommon,mid,Creature — Human Rogue Werewolf // Creature — Werewolf,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/b/5b13fbff-8b72-459a-ac72-3429be6e192d.jpg?1636335899
Bat Whisperer,{3}{B},4.0,common,mid,Creature — Vampire,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/4/4412c901-0ec8-437a-9d1e-ce318bbe2b03.jpg?1634349505
Beloved Beggar,{1}{W},2.0,uncommon,mid,Creature — Human Peasant // Creature — Spirit,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/1/6109b54e-56c5-4014-9f6d-d5f7a0fd725d.jpg?1634346918
Bereaved Survivor,{2}{W},3.0,uncommon,mid,Creature — Human Peasant // Creature — Human Soldier,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/a/4adee830-62fd-4ab4-b1c6-a8bbe15331d1.jpg?1634346978
Bird Admirer,{2}{G},3.0,common,mid,Creature — Human Archer Werewolf // Creature — Werewolf,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/1/71ccc444-54c8-4f7c-a425-82bc3eea1eb0.jpg?1636223879
Bladebrand,{1}{B},2.0,common,mid,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/4/64d4713d-321a-447f-a318-88b552ec5d0c.jpg?1634349528
Bladestitched Skaab,{U}{B},2.0,uncommon,mid,Creature — Zombie Soldier,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/8/b8a73f77-aab5-47e3-bfc1-97f6374f40fc.jpg?1636683786
