Name,Mana Cost,Mana Value,Rarity,Set Code,Type,Image URL
Abrade,{1}{R},2.0,common,vow,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/0/a0e47d11-cb21-402b-a39e-588a94cc57b4.jpg?1643590610
Adamant Will,{1}{W},2.0,common,vow,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/d/bd091f3e-5fcc-4d12-b0c3-3b6340ab01d8.jpg?1643585797
Aim for the Head,{2}{B},3.0,common,vow,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/1/1174e8e1-2e8e-4070-9871-7d5d93e0dd56.jpg?1643589040
Alchemist's Gambit,{1}{R}{R},3.0,rare,vow,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/e/9eab8938-57c9-4e08-b808-09eb02b040a0.jpg?1635932100
Alchemist's Retrieval,{U},1.0,common,vow,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/d/edbf9d4f-6027-40b8-81c1-7f001a9119dd.jpg?1643587430
Alluring Suitor,{2}{R},3.0,uncommon,vow,Creature — Vampire // Creature — Vampire,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/9/397ffd01-c090-4233-9f5a-5f765886d498.jpg?1643590682
Ancestral Anger,{R},1.0,common,vow,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/d/5dee47ab-d603-4346-97f4-a25dc3f47765.jpg?1643590713
Ancient Lumberknot,{2}{B}{G},4.0,uncommon,vow,Creature — Treefolk,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/2/22264087-bac4-4746-b6ce-0d44cce163e6.jpg?1643593736
Angelic Quartermaster,{3}{W}{W},5.0,uncommon,vow,Creature — Angel Soldier,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/1/41d81b88-c19b-4148-89ba-ae8fb53843e1.jpg?1643585829
"Anje, Maid of Dishonor",{2}{B}{R},4.0,rare,vow,Legendary Creature — Vampire,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/b/1bfac4ab-97f1-448c-8554-42ed03eb5656.jpg?1643593763
Apprentice Sharpshooter,{2}{G},3.0,common,vow,Creature — Human Archer,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/0/f03f0790-cdc9-4bb4-ae54-2c248435b0a4.jpg?1643592227
Archghoul of Thraben,{2}{B},3.0,uncommon,vow,Creature — Zombie Cleric,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/c/0cf81c9d-ddb2-470e-8a4a-590049713e95.jpg?1643589071
Arm the Cathars,{1}{W}{W},3.0,uncommon,vow,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/0/2004a20c-e434-4691-8ef2-740846ce6a51.jpg?1643585856
Ascendant Packleader,{G},1.0,rare,vow,Creature — Wolf,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/4/142c5b67-5de9-41da-b57f-7ce771457a3e.jpg?1643592260
Avabruck Caretaker,{4}{G}{G},6.0,mythic,vow,Creature — Human Werewolf // Creature — Werewolf,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/b/6b525a96-17cb-427e-a88b-484e23f78537.jpg?1636755290
Ballista Watcher,{2}{R}{R},4.0,uncommon,vow,Creature — Human Soldier Werewolf // Creature — Werewolf,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/3/63d96c52-66ce-4b46-9a0b-7cd9a43f9253.jpg?1643590762
Belligerent Guest,{2}{R},3.0,common,vow,Creature — Vampire,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/b/1bb844c4-f41c-4411-a80a-c19e1d97b272.jpg?1643590789
Binding Geist,{2}{U},3.0,common,vow,Creature — Spirit // Enchantment — Aura,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/3/730e4629-dc54-415d-9493-88885788ca19.jpg?1643587483
Biolume Egg,{2}{U},3.0,uncommon,vow,Creature — Serpent Egg // Creature — Serpent,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/7/57039230-bf5a-4489-9dc1-37e27b17bd84.jpg?1643587547
Bleed Dry,{2}{B}{B},4.0,common,vow,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/d/3db65755-f104-4de9-bcc9-0a4a7bc66b51.jpg?1643589104
Blood Fountain,{B},1.0,common,vow,Artifact,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/d/dd03651e-ada0-41dc-8722-0eba476943e3.jpg?1643589142
Blood Hypnotist,{2}{R},3.0,uncommon,vow,Creature — Vampire,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/8/d85e0477-9176-4a3e-badc-f1c1c734e59c.jpg?1643590819
Blood Petal Celebrant,{1}{R},2.0,common,vow,Creature — Vampire,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/c/0c3a4927-f06c-424d-92a9-b40cf8e3e209.jpg?1643590861
Blood Servitor,{3},3.0,common,vow,Artifact Creature — Construct,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/7/87845cc2-bf5d-491d-bfa2-b33b034557a4.jpg?1643594580
Bloodcrazed Socialite,{3}{B},4.0,common,vow,Creature — Vampire,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/b/8b12c378-1103-4a50-88fa-cf5a2deef463.jpg?1643589167
Bloodsworn Squire,{3}{B},4.0,uncommon,vow,Creature — Vampire Soldier // Creature — Vampire Knight,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/0/50ea34d6-e690-4087-baf0-0b7a88739760.jpg?1636755777
Bloodtithe Harvester,{B}{R},2.0,uncommon,vow,Creature — Vampire,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/1/01182501-2b50-4b87-835a-fea3c5e6e330.jpg?1636144100
Bloodvial Purveyor,{2}{B}{B},4.0,rare,vow,Creature — Vampire,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/8/4889c58b-8b84-42af-a56c-e886655aa997.jpg?1643589240
Bloody Betrayal,{2}{R},3.0,common,vow,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/9/8970a5d6-dcab-415a-851b-20e228ef7d16.jpg?1643590892
Boarded Window,{3},3.0,uncommon,vow,Artifact,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/0/f02cf94c-94d3-4c4c-a7ae-b4d48ef5b14e.jpg?1643594610
Bramble Armor,{1}{G},2.0,common,vow,Artifact — Equipment,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/3/f3017ae1-9744-493b-a1a2-fb2a60f7e7e4.jpg?1643592329
Bramble Wurm,{6}{G},7.0,uncommon,vow,Creature — Wurm,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/f/8f16f137-4ceb-469c-a381-e575d58f456b.jpg?1643592353
Bride's Gown,{1}{W},2.0,uncommon,vow,Artifact — Equipment,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/3/b3e5dbbe-ca99-41a5-901d-511b9f3ccea6.jpg?1643585881
Brine Comber,{1}{W}{U},3.0,uncommon,vow,Creature — Spirit // Enchantment — Aura,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/d/8d233bc5-8a08-4d38-abd4-21a112141afd.jpg?1643593876
By Invitation Only,{3}{W}{W},5.0,rare,vow,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/6/46764e49-64da-4a94-b61c-75e006b2c5a9.jpg?1643585907
Cartographer's Survey,{3}{G},4.0,uncommon,vow,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/9/b9a41cfc-f329-4e69-a785-835f69c7d2ba.jpg?1643592382
Catapult Fodder,{2}{B},3.0,uncommon,vow,Creature — Zombie // Creature — Zombie,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/6/e61b3afa-66e0-4f7b-84bc-7ae2cc6d28d4.jpg?1643589293
Cemetery Desecrator,{4}{B}{B},6.0,mythic,vow,Creature — Zombie,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/8/48da33b1-d59c-43f1-8e55-480096b674e5.jpg?1643589320
Cemetery Gatekeeper,{1}{R},2.0,mythic,vow,Creature — Vampire,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/5/457086c4-1b4e-4f79-8f2a-10b16174c8bb.jpg?1643590978
Cemetery Illuminator,{1}{U}{U},3.0,mythic,vow,Creature — Spirit,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/f/5f619464-dc3b-4265-b4e4-2578034bf5bf.jpg?1643587572
